INDEX,CALL ID,AGENT,DATE,DAY_OF_THE_WEEK,TIME,TOPIC,ANSWERED (Y/N),RESOLVED,SPEED OF ANSWER IN SECONDS,AVGTALKDURATION,SATISFACTION RATING
0,ID0033,Diane,2021-01-01,Friday,13:33:36,Technical Support,Y,Y,57.0,0 days 00:06:49,3.0
1,ID0056,Dan,2021-01-01,Friday,17:44:10,Streaming,Y,Y,83.0,0 days 00:06:45,4.0
2,ID0039,Stewart,2021-01-01,Friday,14:38:24,Contract related,Y,Y,74.0,0 days 00:06:41,1.0
3,ID0009,Greg,2021-01-01,Friday,11:13:55,Admin Support,Y,Y,15.0,0 days 00:06:38,4.0
4,ID0043,Diane,2021-01-01,Friday,14:47:02,Technical Support,Y,Y,45.0,0 days 00:06:21,3.0
5,ID0030,Stewart,2021-01-01,Friday,12:40:19,Streaming,Y,Y,107.0,0 days 00:05:55,3.0
6,ID0022,Dan,2021-01-01,Friday,12:02:53,Admin Support,Y,Y,89.0,0 days 00:05:50,5.0
7,ID0014,Martha,2021-01-01,Friday,11:52:48,Contract related,Y,Y,89.0,0 days 00:05:44,3.0
8,ID0017,Greg,2021-01-01,Friday,11:57:07,Technical Support,Y,Y,45.0,0 days 00:05:32,5.0
9,ID0016,Becky,2021-01-01,Friday,11:55:41,Admin Support,Y,Y,63.0,0 days 00:05:26,2.0
10,ID0024,Joe,2021-01-01,Friday,12:02:53,Technical Support,Y,Y,68.0,0 days 00:05:25,2.0
11,ID0021,Jim,2021-01-01,Friday,12:02:53,Technical Support,Y,Y,74.0,0 days 00:05:22,5.0
12,ID0045,Diane,2021-01-01,Friday,15:44:38,Admin Support,Y,Y,25.0,0 days 00:05:13,5.0
13,ID0031,Joe,2021-01-01,Friday,13:24:58,Admin Support,Y,Y,22.0,0 days 00:05:08,3.0
14,ID0042,Greg,2021-01-01,Friday,14:47:02,Contract related,Y,Y,100.0,0 days 00:04:54,5.0
15,ID0025,Diane,2021-01-01,Friday,12:30:14,Streaming,Y,Y,97.0,0 days 00:04:09,3.0
16,ID0002,Becky,2021-01-01,Friday,09:12:58,Technical Support,Y,N,70.0,0 days 00:04:02,3.0
17,ID0027,Joe,2021-01-01,Friday,12:40:19,Streaming,Y,Y,39.0,0 days 00:04:00,3.0
18,ID0015,Becky,2021-01-01,Friday,11:55:41,Admin Support,Y,Y,48.0,0 days 00:03:47,4.0
19,ID0007,Diane,2021-01-01,Friday,10:22:05,Payment related,Y,Y,24.0,0 days 00:03:40,2.0
20,ID0049,Joe,2021-01-01,Friday,17:25:26,Technical Support,Y,Y,104.0,0 days 00:03:35,5.0
21,ID0013,Joe,2021-01-01,Friday,11:52:48,Payment related,Y,Y,84.0,0 days 00:03:34,3.0
22,ID0058,Stewart,2021-01-01,Friday,17:57:07,Admin Support,Y,Y,45.0,0 days 00:03:23,5.0
23,ID0044,Becky,2021-01-01,Friday,14:47:02,Payment related,Y,Y,98.0,0 days 00:03:14,5.0
24,ID0057,Jim,2021-01-01,Friday,17:57:07,Technical Support,Y,Y,48.0,0 days 00:02:52,2.0
25,ID0028,Martha,2021-01-01,Friday,12:40:19,Contract related,Y,Y,51.0,0 days 00:02:34,4.0
26,ID0054,Dan,2021-01-01,Friday,17:36:58,Payment related,Y,Y,119.0,0 days 00:02:32,5.0
27,ID0040,Greg,2021-01-01,Friday,14:38:24,Technical Support,Y,Y,49.0,0 days 00:02:29,3.0
28,ID0020,Jim,2021-01-01,Friday,12:01:26,Contract related,Y,Y,101.0,0 days 00:02:27,3.0
29,ID0001,Diane,2021-01-01,Friday,09:12:58,Contract related,Y,Y,109.0,0 days 00:02:23,3.0
30,ID0047,Dan,2021-01-01,Friday,17:13:55,Admin Support,Y,Y,107.0,0 days 00:02:22,3.0
31,ID0003,Stewart,2021-01-01,Friday,09:47:31,Contract related,Y,Y,10.0,0 days 00:02:11,3.0
32,ID0029,Joe,2021-01-01,Friday,12:40:19,Technical Support,Y,Y,106.0,0 days 00:02:09,4.0
33,ID0041,Jim,2021-01-01,Friday,14:47:02,Technical Support,Y,Y,27.0,0 days 00:02:09,5.0
34,ID0032,Joe,2021-01-01,Friday,13:24:58,Streaming,Y,Y,122.0,0 days 00:02:08,4.0
35,ID0034,Jim,2021-01-01,Friday,13:33:36,Payment related,Y,N,53.0,0 days 00:01:44,2.0
36,ID0035,Becky,2021-01-01,Friday,13:42:14,Streaming,Y,Y,119.0,0 days 00:01:31,5.0
37,ID0055,Becky,2021-01-01,Friday,17:44:10,Streaming,Y,Y,35.0,0 days 00:01:19,3.0
38,ID0053,Stewart,2021-01-01,Friday,17:36:58,Payment related,Y,Y,13.0,0 days 00:01:15,5.0
39,ID0037,Martha,2021-01-01,Friday,13:42:14,Technical Support,Y,N,20.0,0 days 00:01:12,2.0
40,ID0010,Jim,2021-01-01,Friday,11:13:55,Streaming,Y,Y,78.0,0 days 00:01:04,3.0
41,ID0005,Becky,2021-01-01,Friday,10:00:29,Payment related,Y,Y,95.0,0 days 00:01:00,3.0
